User ID,Total Hours Played
8763960,621.9
8776918,3508.8000000000006
8784496,100.4
8795607,313.99999999999994
8865447,6.8999999999999995
8949216,225.99999999999997
9065641,0.7
9128105,2210.100000000001
9134079,129.29999999999998
9180659,1199.4999999999998
9209946,46.1
9245216,123.0
9365873,1.0
9544834,101.6
9563573,391.5
9740704,27.1
9759887,0.3
9823354,2738.899999999997
9845449,62.699999999999996
9946133,1935.8999999999999
10064100,1.9
10095386,34.0
10144504,5.7
10162301,407.8999999999999
10181060,44.60000000000001
10216256,2.7
10218563,2022.1000000000006
10253354,2610.4
10302000,4849.5
10385370,169.39999999999998
10450544,1511.5000000000007
10478285,201.0
10515535,0.1
10595342,49.3
10599862,11651.699999999999
10608804,3.0
10714039,17.5
10809782,0.8
10854426,0.7
10856494,2622.7000000000003
10868970,2.9
10869571,23.4
10934310,4.2
10964000,29.0
11024186,537.5
11149819,2816.699999999999
11151885,1.8
11161178,2898.4
11207650,623.7000000000002
11300897,190.99999999999997
11373749,3943.2000000000016
11403772,6009.900000000004
11414203,0.9999999999999999
11713535,23.0
11718802,87.0
11731710,3980.0
11794760,1756.2000000000007
11807754,1278.7999999999995
11813637,2799.0999999999995
11940338,807.9000000000001
11952990,1425.7000000000003
11970504,920.1999999999999
11973378,0.8
11978743,616.4999999999999
12070928,34.0
12130111,803.2999999999998
12144171,1452.5000000000007
12169570,108.0
12195913,2834.2000000000003
12259303,217.10000000000002
12312878,0.4
12423315,22.700000000000003
12529679,53.6
12563913,0.2
12583476,0.3
12610800,2609.099999999998
12660489,6074.1
12673872,0.4
12760368,1180.8999999999999
12774878,320.20000000000005
12858799,0.5
12860805,1499.6
12897088,0.4
12985315,240.1
13190476,3049.7999999999997
13227098,0.6
13227113,20.5
13336286,18.7
13542867,1.5
13556140,209.0
13565651,1428.000000000001
13614852,1.1
13646256,39.599999999999994
13802025,13.8
13863290,476.2
13873032,197.0
14098833,20.0
14126086,3202.7
14153959,36.7
14165501,9.3
14216099,1678.2
14258248,30.700000000000003
14417857,1543.1
14465359,4405.499999999998
14477878,0.6
14507290,568.4999999999999
14544587,8137.0999999999985
14551726,26.4
14671378,729.0
14702137,270.2
14711056,4.6
14717252,10.4
14758912,85.0
14906179,875.6
14962163,1547.8999999999996
15095770,2.2
15196746,1916.2000000000005
15221799,2292.4000000000005
15305418,788.1000000000004
15382030,18.8
15415372,5331.699999999999
15474494,0.1
15495423,0.4
15546726,0.3
15564408,18.0
15576531,77.0
15680561,13.0
15701750,50.50000000000001
15702351,19.300000000000004
15841597,780.0999999999999
15878832,1.8
15927737,29.0
15951451,1.9
16080105,2591.4
16081636,477.4
16084897,2215.3000000000006
16154372,747.4000000000001
16167221,1017.0
16231773,1811.9
16421440,1.0
16574348,25.6
16645459,527.4999999999997
16710264,55.5
16720641,74.0
16919977,0.3
16990576,0.2
17017968,7108.5
17284266,33.1
17299575,16.1
17352311,1.5
17414305,832.8
17432212,0.6
17495098,1396.3000000000004
17497581,829.1
17530772,2845.6
17556127,0.4
17567828,3200.9000000000015
17649444,4001.9000000000005
17821133,5.5
17878330,0.2
17894253,5.1000000000000005
17995238,5808.799999999999
18036199,341.90000000000003
18066817,100.9
